month,day,weekday,hour,power,temperature,humidity,wind,Bulb,CFL,Tubelgiht,TV,Refrigerator,Fan,Cooler,AC,Water Pump,Iron,Immersion
1,3,2,13,2000,281.5,0,2,0,0,0,0,0,0,0,0,0,1,1
7,4,3,8,1160,301.0,0,18,0,0,0,0,1,1,0,0,0,1,0
6,24,2,0,1951,297.0,0,4,0,2,2,0,1,3,0,1,0,0,0
12,13,1,6,400,278.0,0,20,0,1,1,0,0,0,0,0,1,0,0
2,12,2,0,40,274.0,2,51,0,0,1,0,0,0,0,0,0,0,0
12,18,2,15,1000,283.5,0,11,0,0,0,0,0,0,0,0,0,1,0
12,19,5,1,50,275.5,2,29,0,1,1,0,0,0,0,0,0,0,0
4,26,0,2,341,294.0,2,83,0,2,1,0,1,2,0,0,0,0,0
1,12,0,8,1000,281.0,1,90,0,0,0,0,0,0,0,0,0,1,0
9,17,3,9,0,281.5,1,7,0,0,0,0,0,0,0,0,0,0,0
10,28,2,10,2000,281.0,0,17,0,0,0,0,0,0,0,0,0,1,1
8,4,1,3,443,294.5,0,75,0,3,2,0,1,3,0,0,0,0,0
8,19,1,7,3140,300.5,0,73,0,0,0,0,1,2,0,1,1,1,0
11,12,1,8,1000,281.0,2,16,0,0,0,0,0,0,0,0,0,1,0
6,24,6,0,1715,295.0,0,42,0,3,0,0,1,1,0,1,0,0,0
12,5,6,23,200,288.5,2,73,0,1,1,1,0,0,0,0,0,0,0
2,18,1,2,30,275.0,1,31,0,3,0,0,0,0,0,0,0,0,0
12,8,3,17,1350,285.5,1,68,0,0,0,0,0,0,0,0,1,1,0
3,26,1,1,340,294.5,2,59,0,4,0,0,1,2,0,0,0,0,0
9,16,4,17,2350,284.5,1,46,0,0,0,0,0,0,0,0,1,1,1
6,12,3,22,1742,307.0,0,57,0,3,0,0,1,1,0,1,0,0,0
2,15,1,18,0,282.0,2,85,0,0,0,0,0,0,0,0,0,0,0
4,12,4,22,115,304.0,1,56,0,0,0,0,1,0,0,0,0,0,0
8,3,1,7,2222,297.5,2,14,0,0,0,0,1,3,0,1,1,0,0
5,2,1,7,2228,300.5,2,51,0,0,0,0,1,4,0,1,1,0,0
6,5,4,9,422,298.5,2,12,0,0,0,0,1,4,0,0,0,0,0
12,4,6,5,80,276.5,1,14,0,0,2,0,0,0,0,0,0,0,0
4,19,3,9,303,300.5,0,23,0,0,0,0,1,3,0,0,0,0,0
3,2,6,6,2322,296.0,2,85,0,3,2,0,1,3,0,1,1,0,0
3,13,3,3,1713,294.5,1,67,0,2,1,0,1,0,0,1,0,0,0
11,15,2,4,80,276.0,1,94,0,0,2,0,0,0,0,0,0,0,0
4,26,5,15,494,301.5,0,17,0,0,0,1,1,4,0,0,0,0,0
2,1,0,15,2000,282.5,0,64,0,0,0,0,0,0,0,0,0,1,1
7,28,1,23,1970,306.5,1,46,0,3,2,0,1,4,0,1,0,0,0
7,11,6,19,941,302.5,2,30,0,1,2,1,1,3,0,0,1,0,0
1,28,1,17,1350,283.5,2,20,0,0,0,0,0,0,0,0,1,0,1
5,16,3,9,332,297.5,1,11,0,0,0,0,1,3,0,0,0,0,0
7,24,2,21,1940,306.5,0,98,0,4,1,1,1,1,0,1,0,0,0
5,20,0,17,3268,304.5,0,43,0,0,0,0,1,4,0,1,1,1,0
6,3,3,2,264,294.0,2,92,0,4,1,0,1,0,0,0,0,0,0
8,20,4,5,1676,298.5,1,99,0,2,1,0,1,0,0,1,0,0,0
6,22,4,2,239,296.0,0,55,0,1,1,0,1,1,0,0,0,0,0
1,26,5,17,500,282.5,2,2,0,0,0,1,0,0,0,0,1,0,0
1,7,0,15,0,281.5,1,64,0,0,0,0,0,0,0,0,0,0,0
9,28,2,13,1000,280.5,2,1,0,0,0,0,0,0,0,0,0,1,0
2,17,2,12,0,279.0,1,11,0,0,0,0,0,0,0,0,0,0,0
7,12,4,13,1838,299.5,2,5,0,0,0,0,1,3,0,1,0,0,0
3,30,5,13,3014,299.5,1,83,0,0,0,1,1,3,0,1,0,1,0
8,7,3,23,384,308.5,1,68,0,0,0,0,1,4,0,0,0,0,0
3,16,2,23,326,308.5,2,87,0,4,0,0,1,2,0,0,0,0,0
11,27,4,19,370,285.5,0,76,0,2,0,0,0,0,0,0,1,0,0
6,6,3,17,1774,305.5,1,87,0,0,0,0,1,4,0,0,1,1,0
6,17,0,22,1791,306.0,1,47,0,2,2,0,1,0,0,1,0,0,0
11,27,2,10,1000,282.0,1,87,0,0,0,0,0,0,0,0,0,0,1
3,17,6,6,2066,299.0,0,89,0,2,2,0,1,0,0,1,1,0,0
4,11,0,8,1746,298.0,1,54,0,0,0,0,1,1,0,1,0,0,0
12,6,0,3,60,276.5,0,58,0,2,1,0,0,0,0,0,0,0,0
7,27,3,0,376,297.0,0,28,0,4,2,0,1,2,0,0,0,0,0
8,11,3,17,3277,301.5,1,26,0,0,0,0,1,4,0,1,1,1,0
1,7,0,9,2000,277.5,0,99,0,0,0,0,0,0,0,0,0,1,1
9,16,6,21,150,285.5,0,88,0,0,0,1,0,0,0,0,0,0,0
7,18,3,6,2052,297.0,0,93,0,2,0,0,1,0,0,1,1,0,0
3,6,3,10,1308,301.0,2,87,0,0,0,0,1,3,0,0,0,1,0
3,21,0,15,1376,303.5,1,81,0,0,0,0,1,3,0,0,0,1,0
7,22,5,7,852,298.5,2,86,0,0,0,1,1,4,0,0,1,0,0
12,7,5,21,230,286.5,1,98,0,4,1,1,0,0,0,0,0,0,0
8,24,5,0,1952,296.0,1,6,0,4,1,0,1,3,0,1,0,0,0
9,1,3,19,430,282.5,2,47,0,0,2,0,0,0,0,0,1,0,0
8,5,3,3,1917,295.5,1,45,0,0,1,0,1,3,0,1,0,0,0
6,15,0,14,2800,303.0,2,4,0,0,0,0,1,3,0,1,0,1,0
9,6,4,15,1000,281.5,0,82,0,0,0,0,0,0,0,0,0,0,1
1,12,5,12,1150,280.0,1,83,0,0,0,1,0,0,0,0,0,1,0
6,4,6,15,1990,304.5,2,60,0,0,0,1,1,3,0,1,0,0,0
5,21,2,17,708,303.5,1,53,0,0,0,0,1,3,0,0,1,0,0
5,7,6,2,249,294.0,2,8,0,0,1,0,1,1,0,0,0,0,0
3,5,2,23,444,307.5,1,89,0,1,2,0,1,3,0,0,0,0,0
9,14,5,15,1150,284.5,1,87,0,0,0,1,0,0,0,0,0,1,0
1,19,0,11,0,281.5,2,87,0,0,0,0,0,0,0,0,0,0,0
8,18,1,15,311,304.5,0,64,0,0,0,0,1,3,0,0,0,0,0
3,26,4,10,340,298.0,1,45,0,0,0,0,1,3,0,0,0,0,0
7,7,3,4,395,298.0,1,64,0,1,0,0,1,4,0,0,0,0,0
12,23,5,12,150,281.0,2,96,0,0,0,1,0,0,0,0,0,0,0
7,2,6,2,312,297.0,1,40,0,0,2,0,1,1,0,0,0,0,0
9,12,6,18,1150,282.0,0,40,0,0,0,1,0,0,0,0,0,1,0
11,4,1,22,30,287.0,0,18,0,3,0,0,0,0,0,0,0,0,0
8,15,4,3,1697,296.5,2,96,0,1,1,0,1,0,0,1,0,0,0
3,16,1,0,417,294.0,0,98,0,1,0,0,1,4,0,0,0,0,0
12,6,1,10,2000,281.0,1,79,0,0,0,0,0,0,0,0,0,1,1
6,5,5,10,2848,299.0,0,64,0,0,0,1,1,1,0,1,0,1,0
4,14,0,5,336,296.5,2,33,0,0,2,0,1,2,0,0,0,0,0
6,28,5,11,1527,301.5,1,25,0,0,0,1,1,3,0,0,0,1,0
6,21,0,18,1291,302.0,0,85,0,0,0,0,1,2,0,0,0,1,0
3,5,0,2,1728,294.0,2,25,0,3,0,0,1,1,0,1,0,0,0
3,18,0,19,2282,306.5,1,87,0,4,2,0,1,2,0,1,1,0,0
9,11,0,0,90,275.0,2,32,0,1,2,0,0,0,0,0,0,0,0
7,27,2,2,1620,297.0,2,73,0,1,0,0,1,0,0,1,0,0,0
7,25,0,20,502,305.0,1,20,0,1,0,1,1,3,0,0,0,0,0
4,8,2,15,1817,302.5,1,82,0,0,0,0,1,3,0,1,0,0,0
12,14,2,21,230,285.5,2,98,0,4,1,1,0,0,0,0,0,0,0
7,2,1,1,1932,293.5,2,55,0,1,2,0,1,3,0,1,0,0,0
4,23,1,14,2887,301.0,2,74,0,0,0,0,1,4,0,1,0,1,0
2,19,2,17,1350,281.5,0,9,0,0,0,0,0,0,0,0,1,0,1
